,Name,Year of release,Rating,Genre,imdb Url,votes,MovieID,Adventure,Drama,Comedy,Animation,Sci-fi,Thriller,Action,Mystery
193,Doctor Who,(2005– ),8.7,"
Adventure, Drama, Family            ",http://www.imdb.com/title/tt0436992/?ref_=adv_li_tt,"181,165",128,1,1,0,0,0,0,0,0
194,Westworld,(2016– ),8.8,"
Drama, Mystery, Sci-Fi            ",http://www.imdb.com/title/tt0475784/?ref_=adv_li_tt,"326,653",129,0,1,0,0,0,0,0,1
195,Rogue One,(2016),7.8,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt3748528/?ref_=adv_li_tt,"461,982",130,1,0,0,0,0,0,1,0
196,Annihilation,(2018),6.9,"
Adventure, Drama, Horror            ",http://www.imdb.com/title/tt2798920/?ref_=adv_li_tt,"208,950",131,1,1,0,0,0,0,0,0
197,Dark Phoenix,(2019),,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt6565702/?ref_=adv_li_tt,,132,1,0,0,0,0,0,1,0
198,Untitled Terminator Reboot,(2019),,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt6450804/?ref_=adv_li_tt,,133,1,0,0,0,0,0,1,0
199,The Predator,(2018),5.4,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt3829266/?ref_=adv_li_tt,"81,642",134,1,0,0,0,0,0,1,0
207,Ralph Breaks the Internet,(2018),7.3,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt5848272/?ref_=adv_li_tt,"43,852",135,1,0,1,1,0,0,0,0
208,Toy Story 4,(2019),,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt1979376/?ref_=adv_li_tt,,136,1,0,1,1,0,0,0,0
209,Isle of Dogs,(2018),7.9,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt5104604/?ref_=adv_li_tt,"94,639",137,1,0,1,1,0,0,0,0
210,Rick and Morty,(2013– ),9.3,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt2861424/?ref_=adv_li_tt,"250,913",138,1,0,1,1,0,0,0,0
211,Family Guy,(1999– ),8.2,"
Animation, Comedy            ",http://www.imdb.com/title/tt0182576/?ref_=adv_li_tt,"278,889",139,0,0,1,1,0,0,0,0
212,Reign of the Supermen,(2019),6.9,"
Animation, Action, Sci-Fi            ",http://www.imdb.com/title/tt7167686/?ref_=adv_li_tt,"3,971",140,0,0,0,1,0,0,1,0
213,Young Justice,(2010– ),8.7,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt1641384/?ref_=adv_li_tt,"26,209",141,1,0,0,1,0,0,1,0
214,The Lion King,(2019),,"
Animation, Adventure, Drama            ",http://www.imdb.com/title/tt6105098/?ref_=adv_li_tt,,142,1,1,0,1,0,0,0,0
215,Carmen Sandiego,(2019– ),8.1,"
Animation, Adventure, Family            ",http://www.imdb.com/title/tt7042146/?ref_=adv_li_tt,"1,003",143,1,0,0,1,0,0,0,0
216,Big Mouth,(2017– ),8.1,"
Animation, Comedy, Romance            ",http://www.imdb.com/title/tt6524350/?ref_=adv_li_tt,"32,043",144,0,0,1,1,0,0,0,0
217,The Simpsons,(1989– ),8.7,"
Animation, Comedy            ",http://www.imdb.com/title/tt0096697/?ref_=adv_li_tt,"326,480",145,0,0,1,1,0,0,0,0
218,Sing,(2016),7.1,"
Animation, Comedy, Family            ",http://www.imdb.com/title/tt3470600/?ref_=adv_li_tt,"110,712",146,0,0,1,1,0,0,0,0
219,How to Train Your Dragon,(2010),8.1,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt0892769/?ref_=adv_li_tt,"594,007",147,1,0,0,1,0,0,1,0
